,disease.filename,disease.name,disease.summary
561,Iodine_deficiency,Iodine deficiency ,"Iodine deficiency is a lack of the trace element iodine. It may result in goiter (so-called endemic goiter), as well as cretinism, which results in developmental delays and other health problems. Iodine deficiency is an important public health issue as it is a preventable cause of intellectual disability."
562,Iron_overload,Iron overload ,"Iron overload, also known as haemochromatosis, indicates accumulation of iron in the body from any cause. The most important causes are hereditary haemochromatosis (HHC), a genetic disorder, and transfusional iron overload, which can result from repeated blood transfusion.[1][2]"
563,Jadassohn8093Lewandowsky_syndrome,Pachyonychia congenita ,Pachyonychia congenita is an autosomal dominant skin disorder.
564,Japanese_encephalitis,Japanese encephalitis ,"Japanese encephalitis (Japanese: <U+65E5><U+672C><U+8133><U+708E>, Nihon-noen)— abbreviated JE, formerly known as Japanese B encephalitis to distinguish it from Economo's A encephalitis—is a disease caused by the mosquito-borne Japanese encephalitis virus (JEV).[1] The Japanese encephalitis virus (JEV) itself is a virus from the family Flaviviridae, part of the Japanese encephalitis serocomplex of 9 genetically and antigenically related viruses,[2] some which are particularly severe in horses, and four known to infect humans including West Nile virus."
565,Jarcho8093Levin_syndrome,Spondylocostal dysostosis ,"Spondylocostal dysostosis is a rare, heritable axial skeleton growth disorder. It is characterized by widespread and sometimes severe malformations of the vertebral column and ribs, shortened thorax, and moderate to severe scoliosis and kyphosis. Individuals with Jarcho-Levin typically appear to have a short trunk and neck, with arms appearing relatively long in comparison, and a slightly protuberant abdomen. Severely affected individuals may have life-threatening pulmonary complications due to deformities of the thorax. The syndrome was first described by Saul Jarcho and Paul M. Levin at Johns Hopkins University in 1938.[1]"
566,Jervell_and_LangeNielsen_syndrome,Jervell and Lange-Nielsen syndrome ,"Jervell and Lange-Nielsen syndrome (JLNS) is a type of long QT syndrome, associated with severe, bilateral sensorineural hearing loss. Long QT syndrome causes the cardiac muscle to take longer than usual to recharge between beats. If untreated, the irregular heartbeats, called arrhythmias, can lead to fainting, seizures, or sudden death. It was first described by Anton Jervell and Fred Lange-Nielsen in 1957.[1]"
567,Jumping_Frenchmen_of_Maine,Jumping Frenchmen of Maine ,"The Jumping Frenchmen of Maine were a group of 19th-century lumberjacks who exhibited a rare disorder of unknown origin. The syndrome entails an exaggerated startle reflex[1] which may be described as an uncontrollable ""jump""; individuals with this condition can exhibit sudden movements in all parts of the body. Jumping Frenchmen syndrome shares symptoms with other startle disorders."
568,Juvenile_gout,Lesch–Nyhan syndrome ,"Lesch–Nyhan syndrome (LNS), also known as Nyhan's syndrome, Kelley-Seegmiller syndrome, and juvenile gout,[1] is a rare inherited disorder caused by a deficiency of the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRT), produced by mutations in the HPRT gene located on the X chromosome. LNS affects about one in 380,000 live births.[2] The disorder was first recognized and clinically characterized by medical student Michael Lesch and his mentor, pediatrician William Nyhan, who published their findings in 1964.[3]"
569,Katz_syndrome,Katz syndrome ,"Katz Syndrome is a rare congenital disorder, presenting as a polymalformative syndrome characterized by enlarged viscera, hepatomegaly, diabetes, and skeletal anomalies that result in a short stature, cranial hyperostosis, and typical facial features. It is probably a variant of the autosomal recessive type of Craniometaphyseal Dysplasia.[1]"
570,Kawasaki_syndrome,Kawasaki disease ,"Kawasaki disease, also known as Kawasaki syndrome, lymph node syndrome, and mucocutaneous lymph node syndrome,[1] is an autoimmune disease[2] in which the medium-sized blood vessels throughout the body become inflamed. It is largely seen in children under five years of age. It affects many organ systems, mainly those including the blood vessels, skin, mucous membranes, and lymph nodes. Its rarest but most serious effect is on the heart, where it can cause fatal coronary artery aneurysms in untreated children. Without treatment, mortality may approach 1%, usually within six weeks of onset. With treatment, the mortality rate is 0.17% in the U.S.[3]"
571,Kearns8093Sayre_syndrome,Kearns–Sayre syndrome ,"Kearns–Sayre syndrome (abbreviated KSS) also known as oculocraniosomatic disorder or oculocraniosomatic neuromuscular disorder with ragged red fibers is a mitochondrial myopathy with a typical onset before 20 years of age. KSS is a more severe syndromic variant of chronic progressive external ophthalmoplegia (abbreviated CPEO), a syndrome that is characterized by isolated involvement of the muscles controlling eyelid movement (levator palpebrae, orbicularis oculi), and those controlling eye movement (extra-ocular muscles). This results in ptosis and ophthalmoplegia respectively. KSS involves a triad of the already described CPEO, as well as bilateral pigmentary retinopathy, and cardiac conduction abnormalities. Other areas of involvement can include cerebellar ataxia, proximal muscle weakness, deafness, diabetes mellitus, growth hormone deficiency, hypoparathyroidism, or other endocrinopathies.[1] In both of these diseases, muscle involvement may begin unilateral but always develops into a bilateral deficit, and the course is progressive. This discussion is limited specifically to the more severe and systemically involved variant; KSS"
572,Keratoacanthoma_familial,Keratoacanthoma ,Keratoacanthoma (KA) is a common low-grade (unlikely to metastasize or invade) skin tumour that is believed to originate from the neck of the hair follicle.[1]
573,Keratoconus,Keratoconus ,"Keratoconus (KC,[1][2]KTCN[3][4]) (from Greek: kerato- horn, cornea; and konos cone) is a degenerative disorder of the eye in which structural changes within the cornea cause it to thin and change to a more conical shape than the more normal gradual curve."
574,Keratosis_pilaris,Keratosis pilaris ,"Keratosis pilaris (KP) (also follicular keratosis, lichen pilaris, or colloquially ""chicken skin"") is a common, autosomal dominant, genetic follicular condition characterized by the appearance of rough, slightly red, bumps on the skin.[1] It most often appears on the back, outer sides of the upper arm (though the forearm can also be affected), face, thighs, and buttocks;[1] KP can also occur on the hands, and tops of legs, sides, or any body part except glabrous skin (like the palms or soles of feet).[2] Often the lesions will appear on the face, which may be mistaken for acne.[3]"
575,Kerion_celsi,Kerion ,"Kerion is the result of the host's response to a fungal ringworm infection of the hair follicles of the scalp and beard accompanied by secondary bacterial infection(s). It usually presents itself as raised, spongy lesions. This honeycomb is severely painful inflammatory reaction with deep suppurative lesion on the scalp. The follicle may be seen discharging pus. There may be sinus formation and rarely mycetoma-like grains are produced. It is usually caused by Zoophilic dermatophytes such as Trichophyton verrucosum"", ""Microsporum canis"" and T. mentagrophytes."
576,Ki1cell_lymphoma,Anaplastic large-cell lymphoma ,"Anaplastic large-cell lymphoma (ALCL) is a type of non-Hodgkin lymphoma involving aberrant T-cells. It is described in detail in the ""Classification of Tumors of the Hematopoietic and Lymphoid Tissues"" edited by experts of the World Health Organisation (WHO). The term anaplastic large cell lymphoma (ALCL) encompasses at least 4 different clinical entities, all sharing the same name, and histologically have also in common the presence of large pleomorphic cells that express CD30 and T-cell markers. Two types of ALCL present as systemic disease and are considered as aggressive lymphomas, while two types present as localized disease and may progress locally."
577,King8093Denborough_syndrome,Malignant hyperthermia ,"Malignant hyperthermia (MH) or malignant hyperpyrexia is a rare life-threatening condition that is usually triggered by exposure to certain drugs used for general anesthesia — specifically the volatile anesthetic agents and succinylcholine, a neuromuscular blocking agent. In susceptible individuals, these drugs can induce a drastic and uncontrolled increase in oxidative metabolism in skeletal muscle, which overwhelms the body's capacity to supply oxygen, remove carbon dioxide, and regulate body temperature, eventually leading to circulatory collapse and death if not immediately treated."
578,Kleine8093Levin_syndrome,Kleine–Levin syndrome ,"Kleine–Levin syndrome (KLS) also known as ""Sleeping Beauty syndrome"" is a rare sleep disorder characterized by persistent episodic hypersomnia and cognitive or mood changes. Many patients also experience hyperphagia, hypersexuality and other symptoms. Patients generally experience recurrent episodes of the condition for more than a decade. Individual episodes generally last more than a week but less than a month. The condition greatly affects the personal, professional, and social lives of sufferers, but symptoms spontaneously resolve and seldom cause permanent issues. The severity of symptoms and the course of the disease vary between sufferers. Patients commonly have about 20 episodes over about a decade. Several months generally elapse between episodes. The onset of the condition usually follows a viral infection; several different viruses have been observed to trigger KLS. It is generally only diagnosed after similar conditions have been excluded; MRI, CT scans, lumbar puncture, and toxicology tests are used to rule out other possibilities. The disease's mechanism is not known, but the thalamus is thought to possibly play a role. Tomography has shown hypoperfusion in the brains of patients during episodes."
579,Klippel8093Feil_syndrome,Klippel–Feil syndrome ,"Klippel–Feil syndrome is a rare disease, initially reported in 1912 by Maurice Klippel and André Feil from France,[1] characterized by the congenital fusion of any 2 of the 7 cervical vertebrae.[2]:578 The syndrome occurs in a heterogeneous group of patients unified only by the presence of a congenital defect in the formation or segmentation of the cervical spine. Klippel–Feil syndrome can be identified by shortness of the neck. Those with the syndrome have a very low hairline and the ability of the neck to move is limited.[3]"
580,Klippel8093Trnaunay8093Weber_syndrome,Klippel–Trénaunay syndrome ,"Klippel–Trénaunay syndrome (KTS or KT), formerly Klippel–Trénaunay–Weber syndrome[1] and sometimes angioosteohypertrophy syndrome and hemangiectatic hypertrophy,[2] is a rare congenital medical condition in which blood vessels and/or lymph vessels fail to form properly. The three main features are nevus flammeus (port-wine stain), venous and lymphatic malformations, and soft-tissue hypertrophy of the affected limb.[2] It is similar to, though distinctly separate from, the less common Parkes-Weber syndrome."
581,Kohler_disease,Köhler disease ,"Köhler disease (also spelled ""Kohler"") is a rare bone disorder of the foot found in children between six and nine years of age. The disease typically affects boys, but it can also affect girls. It was first described in 1908 by Alban Köhler (1874–1947), a German radiologist.[1][2]"
582,KohlschtterTnz_syndrome,Kohlschütter-Tönz syndrome ,
583,Korsakoffs_syndrome,Wernicke–Korsakoff syndrome ,"Wernicke–Korsakoff syndrome (WKS), also called wet brain, Korsakoff's psychosis, and alcoholic encephalopathy,[1] is the combined presence of Wernicke's encephalopathy and Korsakoff's syndrome. Due to the close relationship between these two disorders, patients suffering from both are usually diagnosed with WKS, as a single syndrome. It is a manifestation of thiamine (vitamin B1) deficiency, a spectrum of disorders which also encompasses beriberi, Wernicke's encephalopathy, and Korsakoff's psychosis. These disorders may manifest concurrently or separately. WKS is usually secondary to alcohol abuse. It mainly causes vision changes, ataxia and impaired memory.[1]"
584,Krabbe_leukodystrophy,Krabbe disease ,"Krabbe disease (also known as globoid cell leukodystrophy[1] or galactosylceramide lipidosis) is a rare, often fatal degenerative disorder that affects the myelin sheath of the nervous system. It is a form of sphingolipidosis, as it involves dysfunctional metabolism of sphingolipids. This condition is inherited in an autosomal recessive pattern. The disease is named after the Danish neurologist Knud Haraldsen Krabbe (1885-1965).[2]"
585,Krause8093Kivlin_syndrome,Peters-plus syndrome ,"Krause–van Schooneveld–Kivlin syndrome is a hereditary syndrome that mainly affects the eyes, growth and development of the individual. It is also known as Krause–Kivlin syndrome or Peters-plus syndrome.[1]"
586,Kwashiorkor,Kwashiorkor ,"Kwashiorkor /kw<U+0251><U+02D0><U+0283>i'<U+0254>rk<U+0259>r/ is a form of severe protein–energy malnutrition characterized by edema, irritability, anorexia, ulcerating dermatoses, and an enlarged liver with fatty infiltrates. Sufficient calorie intake, but with insufficient protein consumption, distinguishes it from marasmus. Kwashiorkor cases occur in areas of famine or poor food supply.[1] Cases in the developed world are rare.[2]"
587,Labrador_lung,Pneumoconiosis ,"Pneumoconiosis is an occupational lung disease and a restrictive lung disease caused by the inhalation of dust, often in mines."
588,Lambert8093Eaton_syndrome,Lambert–Eaton myasthenic syndrome ,"Lambert–Eaton myasthenic syndrome (LEMS, also Lambert–Eaton syndrome, or Eaton–Lambert syndrome) is a rare autoimmune disorder that is characterized by muscle weakness of the limbs. It is the result of an autoimmune reaction in which antibodies are formed against presynaptic voltage-gated calcium channels, and likely other nerve terminal proteins, in the neuromuscular junction (the connection between nerves and the muscle that they supply).[1] The prevalence is 3.4 cases per million.[2] Around 60% of those with LEMS have an underlying malignancy, most commonly small cell lung cancer; it is therefore regarded as a paraneoplastic syndrome (a condition that arises as a result of cancer elsewhere in the body).[3]"
589,Lamellar_ichthyosis,Lamellar ichthyosis ,"Lamellar ichthyosis, also known as ichthyosis lamellaris and nonbullous congenital ichthyosis, is a rare inherited skin disorder, affecting around 1 in 600,000 people."
590,Larontype_dwarfism,Laron syndrome ,"Laron syndrome, or Laron-type dwarfism, is an autosomal recessive disorder characterized by an insensitivity to growth hormone (GH), usually caused by a defective variant of the growth hormone receptor. It causes short stature and a resistance to insulin or even a rare form of diabetes mellitus type 2[1] and cancer. It can be treated with injections of recombinant IGF-1."
591,Larsen_syndrome,Larsen syndrome ,"Larsen syndrome (LS), is a congenital disorder discovered in 1950 by Larsen and associates when they observed dislocation of the large joints and face anomalies in six of their patients.[1] Patients suffering from Larsen syndrome normally present with a variety of symptoms including: congenital anterior dislocation of the knees, dislocation of the hips and elbows, flattened facial appearance, prominent foreheads, and depressed nasal bridges.[2] Larsen syndrome can also cause a variety of cardiovascular anomalies[3] and orthopedic abnormalities.[4] This rare disorder is caused by a genetic defect in the gene encoding filamin B, a cytoplasmic protein that is important in regulating the structure and activity of the cytoskeleton.[5] The gene that influences the emergence of Larsen syndrome is found in chromosome region, 3p21.1-14.1, a region containing Human type VII collagen gene.[6] Larsen syndrome has recently been described as a mesenchyme disorder that affects the connective tissue of an individual.[2]Autosomal dominant and recessive forms of the disorder have been reported, although most cases are autosomal dominant.[1] Reports have found that in Western societies, Larsen syndrome can be found in 1 in every 100,000 births, however, this is most likely an underestimate because the disorder is frequently unrecognized or diagnosed as another disorder.[6]"
592,Larsen_syndrome_dominant_type,Larsen syndrome ,"Larsen syndrome (LS), is a congenital disorder discovered in 1950 by Larsen and associates when they observed dislocation of the large joints and face anomalies in six of their patients.[1] Patients suffering from Larsen syndrome normally present with a variety of symptoms including: congenital anterior dislocation of the knees, dislocation of the hips and elbows, flattened facial appearance, prominent foreheads, and depressed nasal bridges.[2] Larsen syndrome can also cause a variety of cardiovascular anomalies[3] and orthopedic abnormalities.[4] This rare disorder is caused by a genetic defect in the gene encoding filamin B, a cytoplasmic protein that is important in regulating the structure and activity of the cytoskeleton.[5] The gene that influences the emergence of Larsen syndrome is found in chromosome region, 3p21.1-14.1, a region containing Human type VII collagen gene.[6] Larsen syndrome has recently been described as a mesenchyme disorder that affects the connective tissue of an individual.[2]Autosomal dominant and recessive forms of the disorder have been reported, although most cases are autosomal dominant.[1] Reports have found that in Western societies, Larsen syndrome can be found in 1 in every 100,000 births, however, this is most likely an underestimate because the disorder is frequently unrecognized or diagnosed as another disorder.[6]"
593,Laryngeal_neoplasm,Laryngeal cancer ,"Laryngeal cancer, also known as cancer of the larynx or laryngeal carcinoma, are mostly squamous cell carcinomas, reflecting their origin from the skin of the larynx."
594,Laryngocele,Laryngocele ,"Laryngocele refers to a congenital anomalous air sac communicating with the cavity of the larynx, which may bulge outward on the neck. [1]"
595,Lead_poisoning,Lead poisoning ,"Lead poisoning (also known as plumbism, colica pictorum, saturnism, Devon colic, or painter's colic) is a type of metal poisoning and a medical condition in humans and other vertebrates caused by increased levels of the heavy metal lead in the body. Lead interferes with a variety of body processes and is toxic to many organs and tissues including the heart, bones, intestines, kidneys, and reproductive and nervous systems. It interferes with the development of the nervous system and is therefore particularly toxic to children, causing potentially permanent learning and behavior disorders. Symptoms include abdominal pain, confusion, headache, anemia, irritability, and in severe cases seizures, coma, and death."
596,Leber_optic_atrophy,Leber's hereditary optic neuropathy ,"Leber’s hereditary optic neuropathy (LHON) or Leber optic atrophy is a mitochondrially inherited (transmitted from mother to offspring) degeneration of retinal ganglion cells (RGCs) and their axons that leads to an acute or subacute loss of central vision; this affects predominantly young adult males. However, LHON is only transmitted through the mother as it is primarily due to mutations in the mitochondrial (not nuclear) genome and only the egg contributes mitochondria to the embryo. LHON is usually due to one of three pathogenic mitochondrial DNA (mtDNA) point mutations. These mutations are at nucleotide positions 11778 G to A, 3460 G to A and 14484 T to C, respectively in the ND4, ND1 and ND6 subunit genes of complex I of the oxidative phosphorylation chain in mitochondria. Men cannot pass on the disease to their offspring.[1]"
597,Legg8093Calv8093Perthes_syndrome,Legg–Calvé–Perthes disease ,"Legg–Calvé–Perthes Disease (/'l<U+025B>g.kæl've<U+026A>.'p<U+025C>rtiz/, /'l<U+025B>g.k<U+0251><U+02D0>l've<U+026A>.'p<U+025C>rt<U+0268>z/) is a childhood hip disorder initiated by a disruption of blood flow to the ball of the femur called the femoral head. Due to the lack of blood flow, the bone dies (osteonecrosis or avascular necrosis) and stops growing. Over time, healing occurs by new blood vessels infiltrating the dead bone and removing the necrotic bone which leads to a loss of bone mass and a weakening of the femoral head.[1] The bone loss leads to some degree of collapse and deformity of the femoral head and sometimes secondary changes to the shape of the hip socket. It is also referred to as idiopathic avascular osteonecrosis of the capital femoral epiphysis of the femoral head since the cause of the interruption of the blood supply of the head of the femur in the hip joint is unknown."
598,Lenz_microphthalmia_syndrome,Lenz microphthalmia syndrome ,"Lenz microphthalmia syndrome (or LMS) is a very rare inherited disorder characterized by abnormal smallness of one or both eyes (microphthalmos) sometimes with droopy eyelids (blepharoptosis), resulting in visual impairment or blindness. Eye problems may include coloboma, microcornea, and glaucoma. Some affected infants may have complete absence of the eyes (anophthalmia). Most affected infants have developmental delay and intellectual disability, ranging from mild to severe. Other physical abnormalities associated with this disorder can include an unusually small head (microcephaly), and malformations of the teeth, ears, fingers or toes, skeleton, and genitourinary system. The range and severity of findings vary from case to case. Formal diagnosis criteria do not exist."
599,Leprechaunism,Donohue syndrome ,Donohue syndrome (also known as Leprechaunism) is an extremely rare and severe genetic disorder. Leprechaunism derives its name from the fact that those afflicted with the disease often have elfin features and are smaller than usual. Affected individuals have an insulin receptor with greatly impaired functionality.
600,Les_Congnita,Syphilis ,"Syphilis is a sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. The primary route of transmission is through sexual contact; it may also be transmitted from mother to fetus during pregnancy or at birth, resulting in congenital syphilis. Other human diseases caused by related Treponema pallidum include yaws (subspecies pertenue), pinta (subspecies carateum), and bejel (subspecies endemicum)."
601,Leukemia_BCell_chronic,B-cell chronic lymphocytic leukemia ,"B-cell chronic lymphocytic leukemia (B-CLL), also known as chronic lymphoid leukemia (CLL), is the most common type of leukemia (a type of cancer of the white blood cells) in adults.[1] CLL affects B cell lymphocytes, which originate in the bone marrow, develop in the lymph nodes, and normally fight infection by producing antibodies."
602,Leukemia_TCell_chronic,T-cell prolymphocytic leukemia ,"T-cell-prolymphocytic leukemia (T-PLL) is a mature T-cell leukemia with aggressive behavior and predilection for blood, bone marrow, lymph nodes, liver, spleen, and skin involvement.[1] T-PLL is a very rare leukemia, primarily affecting adults over the age of 30. It represents 2% of all small lymphocytic leukemias in adults.[2] Other names include T-cell chronic lymphocytic leukemia, ""knobby"" type of T-cell leukemia, and T-prolymphocytic leukemia/T-cell lymphocytic leukemia.[1]"
603,Leukodystrophy_globoid_cell,Krabbe disease ,"Krabbe disease (also known as globoid cell leukodystrophy[1] or galactosylceramide lipidosis) is a rare, often fatal degenerative disorder that affects the myelin sheath of the nervous system. It is a form of sphingolipidosis, as it involves dysfunctional metabolism of sphingolipids. This condition is inherited in an autosomal recessive pattern. The disease is named after the Danish neurologist Knud Haraldsen Krabbe (1885-1965).[2]"
604,Levator_syndrome,Levator ani ,pubococcygeus and iliococcygeus:
605,Levine8093Crichley_syndrome,Neuroacanthocytosis ,"Neuroacanthocytosis is a group of genetically diverse conditions complicated by movement disorders, neurological problems and spiculated (misshapen) red blood cells. These syndromes, which include chorea acanthocytosis, McLeod syndrome, Huntington’s disease–like 2 (HDL2), and pantothenate kinase-associated neurodegeneration (PKAN), primarily affect the brain and the basal ganglia. The conditions are caused by genetic mutations of several different genes including, VPS13A, XK, JPH3 and PANK2. The mutations are inherited through various genetic mechanisms."
606,LGCR,Langer–Giedion syndrome ,"Langer-Giedion Syndrome (LGS), also called trichorhinophalangeal syndrome type II (TRPS2) or LGCR (for ""Langer-Giedion Chromosome Region""),[1][2] is a very uncommon autosomal dominant genetic disorder caused by a deletion of chromosomal material. It is named after the two doctors who undertook the main research into the condition in the 1960s. Diagnosis is usually made at birth or in early childhood."
607,Lhermitte8093Duclos_disease,Lhermitte–Duclos disease ,"Lhermitte–Duclos disease (English pronunciation: /<U+02CC>l<U+025B>r'mi<U+02D0>t<U+02CC>du<U+02D0>'klo<U+028A>/) (dysplastic gangliocytoma of the cerebellum, LDD) is a rare, slowly growing tumor of the cerebellum, sometimes considered as hamartoma, characterized by diffuse hypertrophy of the granular layer of the cerebellum. It is often associated with Cowden syndrome.[1] It was described by Jacques Jean Lhermitte and P. Duclos in 1920.[2]"
608,Lichen_spinulosus,Lichen spinulosus ,"Lichen spinulosus (also known as ""Keratosis spinulosa""[1]:776) is a rare skin disorder characterized by follicular keratotic papules that are grouped into large patches.[2] It is a variant of keratosis pilaris."
609,Light_chain_disease,Light chain deposition disease ,"Light chain deposition disease (LCDD) is a rare blood cell disease which is characterized by deposition of fragments of infection-fighting immunoglobulins, called light chains (LCs), in the body. LCs are normally cleared by the kidneys, but in LCDD, these light chain deposits damage organs and cause disease. The kidneys are almost always affected and this often leads to kidney failure. About half of people with light chain deposition disease also have multiple myeloma.[1][2] Unlike in AL amyloidosis, in which light chains are laid down in characteristic amyloid deposits, in LCDD, light chains are deposited in non-amyloid granules.[3]"
610,Ligyrophobia,Phonophobia ,"Phonophobia, also called ligyrophobia or sonophobia, is a fear of loud sounds—a type of specific phobia. It can also mean a fear of voices, or a fear of one's own voice.[1] It is a very rare phobia which is often the symptom of hyperacusis. Sonophobia can refer to the hypersensitivity of a patient to sound and can be part of the diagnosis of a migraine."
611,Lipogranulomatosis,Farber disease ,"Farber disease (also known as Farber's lipogranulomatosis, ceramidase deficiency, ""Fibrocytic dysmucopolysaccharidosis,"" and ""Lipogranulomatosis""[1]:545) is an extremely rare (80 cases reported worldwide to this day[2]) autosomal recessive lysosomal storage disease marked by a deficiency in the enzyme ceramidase that causes an accumulation of fatty material lipids leading to abnormalities in the joints, liver, throat, tissues and central nervous system. Normally, the enzyme ceramidase breaks down fatty material in the body’s cells. In Farber Disease, the gene responsible for making this enzyme is mutated. Hence, the fatty material is never broken down and, instead, accumulates in various parts of the body, leading to the signs and symptoms of this disorder."
612,Lipoid_congenital_adrenal_hyperplasia,Lipoid congenital adrenal hyperplasia ,Lipoid congenital adrenal hyperplasia is an endocrine disorder that is an uncommon and potentially lethal form of congenital adrenal hyperplasia (CAH). It arises from defects in the earliest stages of steroid hormone synthesis: the transport of cholesterol into the mitochondria and the conversion of cholesterol to pregnenolone—the first step in the synthesis of all steroid hormones. Lipoid CAH causes mineralocorticoid deficiency in affected infants and children. Male infants are severely undervirilized causing their external genitalia to look feminine. The adrenals are large and filled with lipid globules derived from cholesterol.
613,Lipoid_proteinosis_of_Urbach_and_Wiethe,Urbach–Wiethe disease ,"Urbach–Wiethe disease (also known as lipoid proteinosis and hyalinosis cutis et mucosae) is a rare recessive genetic disorder, with approximately 400 reported cases since its discovery.[1][2][3] It was first officially reported in 1929 by Erich Urbach and Camillo Wiethe,[4][5] although cases may be recognized dating back as early as 1908.[6][7][8]"
614,Listeriosis,Listeriosis ,"Listeriosis is a bacterial infection most commonly caused by Listeria monocytogenes,[1] although L. ivanovii and L. grayi have been reported in certain cases. Listeriosis primarily causes infections of the central nervous system (meningitis, meningoencephalitis, brain abscess, cerebritis) and bacteremia in those who are immunocompromised,[2] pregnant women, and those at the extremes of age (newborns and the elderly), as well as gastroenteritis in healthy persons who have ingested a large inoculum of the organism. Listeria is ubiquitous and is primarily transmitted via the oral route after ingestion of contaminated food products, after which the organism penetrates the intestinal tract to cause systemic infections. The diagnosis of listeriosis requires the isolation of the organism from the blood and/or the cerebrospinal fluid. Treatment includes prolonged administration of antibiotics, primarily ampicillin and gentamicin, to which the organism is usually susceptible."
615,Liver_cirrhosis,Cirrhosis ,"Cirrhosis /s<U+026A>'ro<U+028A>s<U+026A>s/ is a condition in which the liver does not function properly due to long-term damage. Typically, the disease comes on slowly over years. Early on, there are often no symptoms. As the disease worsens, a person may become tired, weak, itchy, have swelling in the lower legs, develop yellow skin, bruise easily, have fluid build up in the abdomen, or develop spider-like blood vessels on the skin. The fluid build-up in the abdomen may become spontaneously infected. Other complications include hepatic encephalopathy, bleeding from dilated esophageal veins, and liver cancer. Hepatic encephalopathy results in confusion and possibly unconsciousness.[1]"
616,Liver_neoplasms,Hepatocellular carcinoma ,"Hepatocellular carcinoma (HCC, also called malignant hepatoma) is the most common type of liver cancer. Most cases of HCC are secondary to either a viral hepatitis infection (hepatitis B or C) or cirrhosis (alcoholism being the most common cause of liver cirrhosis).[1]"
617,Lobstein_disease,Osteogenesis imperfecta ,"Osteogenesis imperfecta (OI), also known as brittle bone disease or Lobstein syndrome,[1] is a congenital bone disorder characterized by brittle bones that are prone to fracture. People with OI are born with defective connective tissue, or without the ability to make it, usually because of a deficiency of type I collagen.[2] Eight types of OI can be distinguished. Most cases are caused by mutations in the COL1A1 and COL1A2 genes."
618,Loin_pain_hematuria_syndrome,Loin pain hematuria syndrome ,"Loin pain hematuria syndrome, or LPHS, is the combination of debilitating unilateral or bilateral flank pain and microscopic or macroscopic amounts of blood in the urine that is otherwise unexplained.[1]"
619,Loose_anagen_hair_syndrome,Loose anagen syndrome ,"Loose anagen syndrome (also known as ""Loose anagen hair syndrome""[1]) is primarily described in fair-haired children who have easily dislodgable hair.[2]:641"
620,Lowe_syndrome,Oculocerebrorenal syndrome ,"Oculocerebrorenal syndrome (also called Lowe syndrome) is a rare X-linked recessive disorder characterized by congenital cataracts, hypotonia and areflexia, mental retardation, proximal tubular acidosis, aminoaciduria, phosphaturia, and low-molecular-weight proteinuria. Glaucoma is present in about 50% of cases."
621,Lucey8093Driscoll_syndrome,Lucey–Driscoll syndrome ,Lucey–Driscoll syndrome is an autosomal recessive metabolic disorder affecting enzymes involved in bilirubin metabolism. It is one of several disorders classified as a transient familial neonatal unconjugated hyperbilirubinemia.
622,Lumbar_spinal_stenosis,Lumbar spinal stenosis ,"Lumbar spinal stenosis (LSS) is a medical condition in which the spinal canal narrows and compresses the spinal cord and nerves at the level of the lumbar vertebra. This is usually due to the common occurrence of spinal degeneration that occurs with aging. It can also sometimes be caused by spinal disc herniation, osteoporosis or a tumor. In the cervical (neck) and lumbar (low back) region it can be a congenital condition to varying degrees."
623,Lygophobia,Nyctophobia ,"Nyctophobia is a phobia characterized by a severe fear of the dark. It is triggered by the brain’s disfigured perception of what would, or could, happen when in a dark environment. It can also be temporarily triggered if the mind is unsteady or scared about recent events or ideas, or a partaking in content the brain considers a threat. [Examples could include indulging in horror content, witnessing vulgar actions, or having linked dark environments to prior events or ideas that disturb the mind.]"
624,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis ,"Lymphangioleiomyomatosis (LAM) is a rare lung disease that results in a proliferation of disorderly smooth muscle growth (leiomyoma) throughout the lungs, in the bronchioles, alveolar septa, perivascular spaces, and lymphatics, resulting in the obstruction of small airways (leading to pulmonary cyst formation and pneumothorax) and lymphatics (leading to chylous pleural effusion). LAM occurs in a sporadic form, which predominantly affects females, usually of childbearing age; LAM also occurs in patients who have tuberous sclerosis."
625,Lymphedema,Lymphedema ,"Lymphedema (lymphoedema in British English), also known as lymphatic obstruction, is a condition of localized fluid retention and tissue swelling caused by a compromised lymphatic system, which normally returns interstitial fluid to the thoracic duct and then the bloodstream. The condition can be inherited, though it is frequently caused by cancer treatments, and by parasitic infections. Though incurable and progressive, a number of treatments can ameliorate symptoms. Tissues with lymphedema are at risk of infection."
626,Lymphedema8093distichiasis_syndrome,Lymphedema–distichiasis syndrome ,Lymphedema–distichiasis syndrome is a medical condition associated with the FOXC2 gene.[1]:849
627,Lymphocytic_infiltrate_of_Jessner,Cutaneous lymphoid hyperplasia ,"Cutaneous lymphoid hyperplasia (also known as ""borrelial lymphocytoma,""[1] ""Lymphadenosis benigna cutis,"" ""Lymphocytoma cutis,"" ""Pseudolymphoma,"" ""Pseudolymphoma of Spiegler and Fendt,""[1] ""Sarcoidosis of Spiegler and Fendt,""[1] ""Spiegler–Fendt lymphoid hyperplasia,""[1] and ""Spiegler–Fendt sarcoid"") refers to a groups of benign cutaneous disorders characterized by collections of lymphocytes, macrophages, and dendritic cells in the skin.[2]:725 Conditions included in this groups are:[2]:725"
